index,text,possible_emotions
0,im feeling rather rotten so im not very ambitious right now,"['alarm', 'exasperation', 'terror', 'tenderness', 'exasperation', 'joyfulness', 'exasperation', 'triumph', 'flabbergast', 'depression']"
1,im updating my blog because i feel shitty,"['shock', 'jubilation', 'shock', 'fright', 'fright', 'irritation', 'delight', 'tenderness', 'jubilation', 'sorrow']"
2,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,"['panic', 'shock', 'exultation', 'fright', 'joyfulness', 'stun', 'irritation', 'terror', 'irritation', 'regret']"
3,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,"['attachment', 'annoyance', 'exasperation', 'intimacy', 'tenderness', 'exasperation', 'sorrow', 'astound', 'sorrow', 'exultation']"
4,i was feeling a little vain when i did this one,"['tenderness', 'tenderness', 'exultation', 'triumph', 'irritation', 'flabbergast', 'triumph', 'intimacy', 'jubilation', 'unhappiness']"
5,i cant walk into a shop anywhere where i do not feel uncomfortable,"['fondness', 'annoyance', 'unhappiness', 'crossness', 'tenderness', 'unhappiness', 'fondness', 'astound', 'annoyance', 'alarm']"
6,i felt anger when at the end of a telephone call,"['alarm', 'horror', 'exultation', 'tenderness', 'regret', 'triumph', 'stun', 'exultation', 'panic', 'exasperation', 'vexation']"
7,i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,"['regret', 'shock', 'alarm', 'terror', 'unhappiness', 'attachment', 'vexation', 'depression', 'exasperation', 'triumph']"
8,i like to have the same breathless feeling as a reader eager to see what will happen next,"['stun', 'unhappiness', 'stun', 'regret', 'unhappiness', 'crossness', 'intimacy', 'alarm', 'attachment', 'joyfulness']"
9,i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,"['joyfulness', 'attachment', 'shock', 'terror', 'panic', 'stagger', 'fright', 'horror', 'terror', 'irritation']"
10,i don t feel particularly agitated,"['fondness', 'tenderness', 'exasperation', 'depression', 'dejection', 'shock', 'regret', 'shock', 'stun', 'panic']"
11,i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,"['terror', 'tenderness', 'delight', 'flabbergast', 'terror', 'exasperation', 'irritation', 'attachment', 'fright', 'sorrow']"
12,i pay attention it deepens into a feeling of being invaded and helpless,"['depression', 'delight', 'joyfulness', 'sorrow', 'warmth', 'attachment', 'intimacy', 'exultation', 'shock', 'terror']"
13,i just feel extremely comfortable with the group of people that i dont even need to hide myself,"['terror', 'vexation', 'tenderness', 'fright', 'stagger', 'crossness', 'fright', 'fright', 'unhappiness', 'exultation']"
14,i find myself in the odd position of feeling supportive of,"['exasperation', 'joyfulness', 'shock', 'exultation', 'sorrow', 'alarm', 'terror', 'exasperation', 'terror', 'fondness']"
15,i was feeling as heartbroken as im sure katniss was,"['astound', 'horror', 'annoyance', 'crossness', 'astound', 'tenderness', 'intimacy', 'attachment', 'delight', 'dejection']"
16,i feel a little mellow today,"['panic', 'tenderness', 'tenderness', 'stagger', 'stagger', 'fright', 'depression', 'regret', 'exasperation', 'jubilation']"
17,i feel like my only role now would be to tear your sails with my pessimism and discontent,"['exultation', 'fright', 'alarm', 'flabbergast', 'vexation', 'shock', 'terror', 'jubilation', 'crossness', 'dejection']"
18,i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,"['fright', 'joyfulness', 'fright', 'terror', 'depression', 'astound', 'stagger', 'alarm', 'depression', 'vexation']"
19,i feel like reds and purples are just so rich and kind of perfect,"['shock', 'panic', 'intimacy', 'annoyance', 'stun', 'unhappiness', 'flabbergast', 'panic', 'warmth', 'triumph']"
20,im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,"['crossness', 'fright', 'attachment', 'attachment', 'vexation', 'vexation', 'vexation', 'triumph', 'intimacy', 'sorrow']"
21,i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,"['unhappiness', 'alarm', 'fright', 'horror', 'intimacy', 'regret', 'stun', 'astound', 'horror', 'delight']"
22,i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,"['dejection', 'alarm', 'vexation', 'fright', 'warmth', 'intimacy', 'terror', 'alarm', 'astound', 'jubilation']"
23,i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,"['fondness', 'exasperation', 'astound', 'delight', 'triumph', 'alarm', 'alarm', 'fright', 'exultation', 'sorrow']"
24,i don t feel guilty like i m not going to be able to cook for him,"['annoyance', 'tenderness', 'panic', 'warmth', 'panic', 'annoyance', 'flabbergast', 'shock', 'shock', 'regret']"
25,i hate it when i feel fearful for absolutely no reason,"['stagger', 'dejection', 'stagger', 'shock', 'fondness', 'exultation', 'joyfulness', 'annoyance', 'sorrow', 'fright']"
26,i am feeling outraged it shows everywhere,"['tenderness', 'joyfulness', 'shock', 'fright', 'astound', 'attachment', 'terror', 'sorrow', 'tenderness', 'exasperation']"
27,i stole a book from one of my all time favorite authors and now i feel like a rotten person,"['irritation', 'stagger', 'flabbergast', 'exultation', 'warmth', 'stun', 'attachment', 'exasperation', 'exultation', 'regret']"
28,i do feel insecure sometimes but who doesnt,"['vexation', 'depression', 'tenderness', 'fondness', 'joyfulness', 'stagger', 'shock', 'delight', 'dejection', 'fright']"
